n,xa,phat_a,variance_a,sigma_a,cdf_probability,relative_gain
290,22,0.0758620689655172,0.000241748329164787,0.0155482580749352,0.0982429411481258,-0.0182430636729884
291,22,0.0756013745704467,0.000240157411455346,0.0154970129849383,0.0950502031293636,0.0032958733865824
292,22,0.0753424657534247,0.000238582118519242,0.0154461036678912,0.0919417344040625,0.003285105142299
293,22,0.0750853242320819,0.000237022246815853,0.0153955268443744,0.0889161581780936,0.00327440658202495
294,22,0.0748299319727891,0.000235477596101146,0.0153452792773917,0.0859720827139296,0.00326377703671278
295,22,0.0745762711864407,0.000233947969363956,0.0152953577716887,0.083108103420467,0.00325321584577186
296,22,0.0743243243243243,0.000232433172763706,0.015245759173085,0.0803228048768596,0.00324272235693875
297,22,0.0740740740740741,0.000230933015569504,0.0151964803678189,0.0776147627891885,0.00323229592614591
298,22,0.0738255033557047,0.000229447310100609,0.0151475182819038,0.0749825458799724,0.00322193591739587
299,22,0.0735785953177258,0.000227975871668214,0.0150988698804982,0.0724247177094979,0.00321164170263725
300,22,0.0733333333333333,0.000226518518518519,0.0150505321672863,0.0699398384290867,0.00320141266164076
301,23,0.0764119601328904,0.000234462367048305,0.0153121640223812,0.0991101604165778,-0.0173835617363503
302,23,0.076158940397351,0.00023297601389041,0.015263551811109,0.0959517910215237,0.00317474468018546
303,23,0.0759075907590759,0.000231503724172371,0.0152152464381084,0.0928749279334495,0.00316475310585531
304,23,0.0756578947368421,0.000230045321384313,0.0151672450162946,0.0898782830615968,0.00315482381498854
305,23,0.0754098360655738,0.000228600631770941,0.0151195446945648,0.0869605533927719,0.00314495623157481
306,23,0.0751633986928105,0.000227169484280249,0.0150721426572418,0.0841204229172471,0.00313514978661836
307,23,0.0749185667752443,0.000225751710513315,0.0150250361235278,0.0813565644969183,0.00312540391802986
308,23,0.0746753246753247,0.000224347144675193,0.0149782223469674,0.0786676416746155,0.00311571807052636
309,23,0.0744336569579288,0.000222955623526855,0.0149316986149217,0.0760523104242948,0.00310609169552721
310,23,0.0741935483870968,0.000221576986338156,0.0148854622480511,0.0735092208413282,0.00309652425105628
311,23,0.0739549839228296,0.000220211074841812,0.0148395105998079,0.0710370187729278,0.00308701520164217
312,24,0.0769230769230769,0.000227583067819754,0.0150858565490911,0.0998690753958961,-0.0166006788179611
313,24,0.0766773162939297,0.000226191391245656,0.0150396606093906,0.0967456025950718,0.00306220197375755
314,24,0.0764331210191083,0.000224812417294225,0.014993745939365,0.0937010272041138,0.00305290599423126
315,24,0.0761904761904762,0.000223445992153475,0.0149481099859974,0.0907341409782706,0.00304366590925114
316,24,0.0759493670886076,0.000222091964327366,0.014902750226967,0.0878437208922816,0.00303448122022566
317,24,0.0757097791798107,0.00022075018459418,0.0148576641701911,0.0850285309181184,0.00302535143441867
318,24,0.0754716981132075,0.000219420505965775,0.0148128493533748,0.0822873237521847,0.00301627606486371
319,24,0.0752351097178683,0.000218102783647676,0.0147683033435692,0.0796188424905952,0.00300725463028115
320,24,0.075,0.000216796875,0.0147240237367372,0.0770218222526662,0.00299828665499738
321,24,0.0747663551401869,0.000215502639499185,0.0146800081573269,0.0744949917508874,0.00298937166886271
322,24,0.0745341614906832,0.000214219938700509,0.0146362542578526,0.0720370748082275,0.00298050920717309
323,24,0.0743034055727554,0.000212948636201381,0.014592759718483,0.0696467918217384,0.00297169881059324
324,25,0.0771604938271605,0.00021977392598614,0.0148247740618918,0.0974410023888433,-0.0158992779902276
325,25,0.0769230769230769,0.000218479745106964,0.0147810603512388,0.0944291882671981,0.00294869321248842
326,25,0.0766871165644172,0.000217196940851082,0.0147376029547237,0.0914926694985901,0.00294007300439944
327,25,0.0764525993883792,0.000215925380535594,0.0146943996316826,0.0886302953898916,0.00293150271274507
328,25,0.0762195121951219,0.000214664933402011,0.0146514481674001,0.085840902342945,0.00292298190869415
329,25,0.0759878419452888,0.000213415470582938,0.0146087463727364,0.0831233154535888,0.00291451016826595
330,25,0.0757575757575758,0.000212176865069427,0.0145662920837606,0.0804763500656839,0.00290608707226122
331,25,0.0755287009063444,0.000210948991678986,0.0145240831613905,0.0778988132781221,0.00289771220619737
332,25,0.0753012048192771,0.000209731727024224,0.0144821174910378,0.075389505405518,0.00288938516024096
