n,xr,phat_r,variance_r,sigma_r,tail_probability,relative_gain
170,25,0.147058823529412,0.000737838387950336,0.0271631807406706,0.0326655715726418,0.00537486521244644
171,25,0.146198830409357,0.000729969195299959,0.0270179420996485,0.0347426163990024,0.0053468937385747
172,25,0.145348837209302,0.000722224143786082,0.0268742282454042,0.0369171551661959,0.00531920061543656
173,25,0.144508670520231,0.000714600662801772,0.0267320156890903,0.0391916051740437,0.00529178196356961
174,25,0.14367816091954,0.000707096247093787,0.0265912814112782,0.0415683291084166,0.00526463396733733
175,25,0.142857142857143,0.000699708454810496,0.0264520028506443,0.0440496288958905,0.0052377528739458
176,25,0.142045454545455,0.000692434905616078,0.0263141578929685,0.0466377396013813,0.00521113499246567
177,25,0.141242937853107,0.000685273278868535,0.0261777248604331,0.0493348233892065,0.00518477669285171
178,26,0.146067415730337,0.000700740032540438,0.0264714947167786,0.0321490054931905,-0.0112221309495687
179,26,0.145251396648045,0.000693594572177861,0.0263361837056522,0.0341484013006966,0.00511157426409457
180,26,0.144444444444444,0.000686556927297668,0.0262022313419615,0.0362399770447931,0.0050862480755702
181,26,0.143646408839779,0.000679624961697315,0.0260696175978344,0.0384260110482889,0.00506116224974831
182,26,0.142857142857143,0.000672796591163938,0.025938322828663,0.0407087350173378,0.00503631358145856
183,26,0.14207650273224,0.000666069781986973,0.0258083277642503,0.0430903285595611,0.00501169891636182
184,26,0.141304347826087,0.000659442549519191,0.025679613500191,0.0455729137266757,0.00498731515017476
185,26,0.140540540540541,0.000652912956784396,0.0255521614894786,0.0481585495988444,0.00496315922789841
186,27,0.145161290322581,0.000667147796314323,0.0258292043298729,0.0316005352636343,-0.0108422467707201
187,27,0.144385026737968,0.000660630966801306,0.0257027423984544,0.0335254044300918,0.00489608312371425
188,27,0.143617021276596,0.000654208364235285,0.025577497223835,0.0355375502730601,0.00487283312721441
189,27,0.142857142857143,0.000647878198898607,0.0254534516107071,0.0376391248201424,0.00484979480370282
190,27,0.142105263157895,0.000641638722845896,0.0253305886794187,0.0398322403444411,0.00482696544136596
191,27,0.141361256544503,0.000635488228757392,0.0252088918589729,0.0421189644581925,0.00480434236985003
192,27,0.140625,0.000629425048828125,0.0250883448802053,0.0445013152166917,0.00478192295964437
193,27,0.139896373056995,0.000623447553691673,0.0249689317691341,0.0469812562472349,0.00475970462146608
194,27,0.139175257731959,0.000617554151377328,0.0248506368404781,0.0495606919179108,0.00473768480565126
195,28,0.143589743589744,0.000630624251926027,0.0251122331130871,0.0328803412474788,-0.0105267432093676
196,28,0.142857142857143,0.000624739691795085,0.0249947932937059,0.0348164533788645,0.00467659800911831
197,28,0.142131979695431,0.000618936446920248,0.0248784333694919,0.0368373420177793,0.00465536653360901
198,28,0.141414141414141,0.000613213040516377,0.0247631387452475,0.038945009992372,0.00463432011702994
199,28,0.14070351758794,0.000607568028775478,0.0246488950822441,0.041141421881686,0.00461345648379489
200,28,0.14,0.000602,0.0245356882927706,0.0434284996106093,0.00459277339190175
201,28,0.139303482587065,0.00059650757376209,0.0244235045348142,0.0458081180568912,0.00457226863244137
202,28,0.138613861386139,0.000591089400087935,0.0243123302068711,0.048282100682935,0.00455194002910847
203,29,0.142857142857143,0.000603196943802151,0.0245600680740537,0.0322188849180972,-0.010189803489614
204,29,0.142156862745098,0.000597785730978281,0.0244496570728156,0.0340822179468278,0.00449554947914595
205,29,0.141463414634146,0.0005924464241668,0.0243402223524519,0.0360260130836047,0.0044759204612876
206,29,0.140776699029126,0.000587177767182471,0.0242317512198865,0.038052172421092,0.00445645610770185
207,29,0.140096618357488,0.000581978530832291,0.0241242311967095,0.0401625653490152,0.00443715446734913
208,29,0.139423076923077,0.00057684751223259,0.0240176500147827,0.0423590245807077,0.00441801361700429
209,29,0.138755980861244,0.000571783534145828,0.0239119956119482,0.0446433421816607,0.00439903166086091
210,29,0.138095238095238,0.000566785444336465,0.0238072561278377,0.047017265611178,0.00438020673013792
211,29,0.137440758293839,0.000561852114945277,0.0237034198997798,0.0494824937879591,0.00436153698268765
212,30,0.141509433962264,0.000573040160669546,0.023938257260493,0.0333394996233808,-0.00990731977521039
213,30,0.140845070422535,0.000568111439249795,0.0238350884044888,0.0352096169801458,0.00430978975961228
214,30,0.14018691588785,0.000563245535054688,0.0237327945058033,0.0371579946828259,0.00429173565247575
215,30,0.13953488372093,0.000558441395097287,0.0236313646473767,0.0391864138478881,0.00427382702031868
216,30,0.138888888888889,0.000553697988111568,0.0235307880894705,0.041296624108315,0.00425606220406601
217,30,0.138248847926267,0.000549014304024549,0.0234310542661774,0.0434903400154108,0.00423843956751236
218,30,0.137614678899083,0.00054438935344305,0.0233321527820099,0.0457692374444306,0.00422095749700364
219,30,0.136986301369863,0.000539822167154649,0.0232340734085663,0.0481349500136099,0.00420361440111751
220,31,0.140909090909091,0.000550244177310293,0.0234572840991939,0.0325922184341395,-0.00960704077595101
221,31,0.14027149321267,0.00054568054934189,0.0233598062779187,0.0343919031433419,0.00415554592181074
222,31,0.13963963963964,0.000541173021085366,0.023263125780629,0.0362660250735016,0.00413875424048713
223,31,0.139013452914798,0.00053672068530719,0.0231672330092998,0.0382162832070628,0.00412209314575665
224,31,0.138392857142857,0.000532322652833455,0.0230721185163707,0.0402443495666875,0.00410556119891143
225,31,0.137777777777778,0.0005279780521262,0.022977773001886,0.0423518659486571,0.00408915698043744
226,31,0.13716814159292,0.000523686028871084,0.0228841873106974,0.0445404406529915,0.00407287908975793
227,31,0.136563876651982,0.000519445745576055,0.0227913524297277,0.046811645218626,0.00405672614496953
228,31,0.135964912280702,0.000515256381180714,0.0226992594852941,0.0491670111717225,0.00404069678258696
229,32,0.139737991266376,0.000524940109446349,0.0229115715184784,0.0335760081532188,-0.00935325812376427
230,32,0.139130434782609,0.000520752856086135,0.0228200099931208,0.0353792100174787,0.00399630052804032
231,32,0.138528138528139,0.000516615122788171,0.0227291689858686,0.0372549024089461,0.00398076106362922
232,32,0.137931034482759,0.00051252613883308,0.022639040148228,0.0392046846498671,0.00396533800670842
233,32,0.137339055793991,0.000508485148272988,0.0225496152577597,0.0412301300822458,0.0039500301197769
234,32,0.136752136752137,0.000504491409597699,0.0224608862157685,0.0433327830880224,0.00393483618132484
235,32,0.136170212765957,0.000500544195409495,0.0223728450450428,0.0455141561078278,0.00391975498562105
236,32,0.135593220338983,0.000496642792106301,0.0222854838876409,0.0477757266650956,0.00390478534249961
237,33,0.139240506329114,0.000505707121208126,0.022487932790902,0.0327645520911383,-0.00908433957646371
238,33,0.138655462184874,0.000501807247862071,0.0224010546149522,0.034499990322364,0.00386332424405698
239,33,0.138075313807531,0.000497951972905787,0.0223148375056998,0.0363045091045624,0.00384879688632322
240,33,0.1375,0.000494140625,0.0222292740547234,0.0381796394912561,0.0038343748169592
241,33,0.136929460580913,0.000490372545252835,0.0221443569618274,0.0401268902774564,0.00382005695224042
242,33,0.136363636363636,0.000486647086947613,0.0220600790331225,0.0421477452799787,0.00380584222202326
243,33,0.135802469135802,0.000482963615277456,0.0219764331791457,0.0442436606111503,0.00379172956956511
244,33,0.135245901639344,0.000479321507086496,0.0218934124130181,0.0464160619520516,0.00377771795135358
245,33,0.13469387755102,0.000475720150617515,0.021811009848641,0.0486663418315652,0.00376380633692943
246,34,0.138211382113821,0.000484182910439059,0.0220041566627549,0.0336303808183378,-0.00885547324283499
247,34,0.137651821862348,0.000480582177329249,0.0219221845929928,0.0353669284283319,0.00372529931587157
248,34,0.137096774193548,0.000477021164109966,0.0218408141814806,0.0371708281184966,0.0037117838857229
249,34,0.136546184738956,0.00047349929386422,0.0217600389214776,0.0390435277038328,0.00369836304323947
250,34,0.136,0.000470016,0.0216798523980215,0.0409864535236311,0.00368503584692215
251,34,0.135458167330677,0.000466570726032237,0.0216002482863563,0.0430010079450765,0.00367180136671604
252,34,0.134920634920635,0.00046316292537003,0.0215212203503898,0.0450885668615932,0.00365865868386472
253,34,0.134387351778656,0.000459792061108995,0.0214427624411827,0.0472504771915894,0.00364560689076553
254,34,0.133858267716535,0.000456457605828598,0.021364868495467,0.0494880543831447,0.00363264509082628
